Sub_Cluster1	Sub_Cluster2	Value
Muscle.h	Neuron.m	0.582883643766667
Myeloid.h	Neuron.m	0.347720392416667
Neuron.h	Neuron.m	0.932624429633333
Neutrophil.h	Neuron.m	0.310728290333333
Plasmocyte.h	Neuron.m	0.130379250666667
Proliferating.h	Neuron.m	0.777133018166667
Secretory.h	Neuron.m	0.648824253595238
Stromal.h	Neuron.m	0.665641771075
T cell.h	Neuron.m	0.254878930125
Epithelial.s	Neuron.n	0.6529820045
Excretory.s	Neuron.n	0.782280671
Glia.s	Neuron.n	0.498646496
Muscle.s	Neuron.n	0.6395413125
Neuron.s	Neuron.n	0.835295334625
Parenchymal.s	Neuron.n	0.475208459333333
Phagocytes.s	Neuron.n	0.498577987
Pharynx.s	Neuron.n	0.809971071
Proliferating.s	Neuron.n	0.364009549304348
Secretory.s	Neuron.n	0.609458132
Coelomocytes.c	Neuron.s	0.666823551875
DistalTip.c	Neuron.s	0.531838446
Epithelial.c	Neuron.s	0.554337582
Excretory.c	Neuron.s	0.818102185125
Glia.c	Neuron.s	0.8603615678125
Muscle.c	Neuron.s	0.6294891921875
Neuron.c	Neuron.s	0.9423629238
Pharynx.c	Neuron.s	0.841402607666667
Proliferating.c	Neuron.s	0.18449038315
B cell.m	Neuron.z	0.40717010962963
Cumulus.m	Neuron.z	0.500075038777778
Dendritic.m	Neuron.z	0.413808330009259
Endothelial.m	Neuron.z	0.407949806013889
Epithelial.m	Neuron.z	0.582817771393939
Erythroid.m	Neuron.z	0.414590681930556
Hepatocyte.m	Neuron.z	0.393044819685185
Macrophage.m	Neuron.z	0.426993110481481
Mast.m	Neuron.z	0.336492735111111
Monocyte.m	Neuron.z	0.321430799694444
Muscle.m	Neuron.z	0.532601733135803
Neuron.m	Neuron.z	0.830677291574074
Neutrophil.m	Neuron.z	0.330321026347222
ProliferatingEpithelial.m	Neuron.z	0.597420358888889
